objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1979-212-035;Het Huis van Alijn (Gent);foto;Voorstelling Spelleke van Folklore, Gent;"";"";"";"";"";""
1974-123-041;Het Huis van Alijn (Gent);gesel (strafwerktuig);Zweep met franjes;Zweep met handvat van hout en acht franjes van leer. Werd door de onderwijzer op school gebruikt om stoute kinderen af te straffen.;"";"";"";"";""
1926-229;Het Huis van Alijn (Gent);doopspuit;Klisteerspuit of doopspuit;Klisteerspuit of lavementspuit, werd ook gebruikt als doopspuit voor het dopen van het ongeboren kind. Tot ver in de 20ste eeuw was niet de geboorte zelf, maar het doopsel de belangrijkste gebeurtenis. Binnen de christelijke traditie is het pasgeboren kind belast met de erfzonde die bij het doopsel wordt weggewassen. Men geloofde dat wanneer een ongedoopt kindje zou sterven het als dwaallichtje zou blijven rondspoken. Bij een risicobevalling werd een nooddoop toegediend. Hiervoor gebruikte men een doopspuit, waarbij de baby in de baarmoeder werd gedoopt. De niet-steriele doopspuit werd gevuld met wijwater. Het toepassen van een nooddoop was urgent en werd daardoor toegediend door de vroedvrouw en niet door de priester.;"";"";"";"";""
2002-078-114;Het Huis van Alijn (Gent);affiche;Affiche voor het Wiener Circus in Lokeren, 1973;"Affiche voor het Wiener Circus. Blauwe en rode achtergrond. Gekleurde tekeningen, gemaakt door E. Quix: drie leeuwen; een clownshoofd; drie duiven bij een artieste op een knielend paard.";1973;"";"";"";""
2007-117-051;Het Huis van Alijn (Gent);bord (vaatwerk);Verwarmbaar babybord;Verwarmbaar babybord met de afbeelding van kabouters. Er is een buisvormige opening voorzien waar warm water kan worden aangevoerd, ter verwarming van het bord.;"";"";"";"";""
2004-247-293;Het Huis van Alijn (Gent);glasnegatief;Kinderen op het strand, Oostende;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2003-002-010;Het Huis van Alijn (Gent);kookpot;Goochelketel van Ali-Ben;Zilverkleurige pot met deksel en bodemplaat. Goochelketel in de vorm van een kookpot, gebruikt om te goochelen. Afkomstig van Ali-Ben.;1945;"";"";"";""
2003-002-145;Het Huis van Alijn (Gent);stoel;Witte klapstoel van Circus Demuynck;Witte logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.;1950;"";"";"";""
1974-111-056;Het Huis van Alijn (Gent);pijp (rookgerei);Pijpenkop uit schelp en metaal;Tabakspijp met pijpkop uit de schelp van een zeeslak. Brandkamer uit hars en steel insteekhuls uit metaal.;"";"";onbekend;"";""
1965-089-046;Het Huis van Alijn (Gent);stangpop;Soldaat;Stangpop van soldaat, hij draagt een helm met vizier. De pop draagt een borst- en rugharnas, voorarmbeschermers en kaplaarzen. Alles is in goud geschilderd. Rood katoenen hemd en rode broek. Aan de schouders hangen goudkleurige franjes. Kop met snor. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2003-002-144;Het Huis van Alijn (Gent);stoel;Rode klapstoel van Circus Demuynck;Rode logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.;1950;"";"";"";""
1965-089-038;Het Huis van Alijn (Gent);stangpop;Bisschop uit Blauwbaard;Stangpop van de bisschop uit Blauwbaard. De pop draagt een paarse mijter en kleed. De mijter is afgeboord met gele steekjes. Middenin de mijter is een geel driehoekje aangebracht van kraaltjes. De pop draagt een kazuifel over de schouders. De boord is afgezet aan de rand met een brede band met streepjes en kruisjes in goudkleurige draad. Wit bisschopkleed, onderaan met kant afgezet. Rondom de hals draagt de pop een halsketting met een groot kruis. Hij draagt een goudkleurige staf. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2004-247-120;Het Huis van Alijn (Gent);glasnegatief;Een carrousel op de foor op het Sint-Pietersplein, Gent, ca. 1890-1895;Een mooi versierde carrousel met paarden en bootjes op de Gentse foor omstreeks 1890-1895. Op de voorkant van het bootje rechts in beeld zijn de eerste letters van een naam of woord nog te lezen: 'caer'. De molen stond vlak voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein. Langs de foorbarakken links in de verte lopen vele kermisgangers. Het gebouw op de achtergrond is het klooster van de Zusters Apostolinnen.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1987-055;Het Huis van Alijn (Gent);wieg;Wieg met wiegbekleding;Witgeverfde ijzeren wieg die uit twee delen bestaat: de wiegmand en het frame waarin de wiegmand hangt. De ovale wiegmand bestaat uit een imitatienetwerk dat conisch naar beneden toeloopt. Het frame draagt de wieg en rust op vier wieltjes, de voetzijde van het frame is laag en eindigt op een bol. Aan de hoofdzijde is een ijzeren staaf bevestigd. Deze buigt boven de wiegmand zodat er een sluier kan aan worden bevestigd.;1900;"";"";"";""
2004-247-730;Het Huis van Alijn (Gent);glasnegatief;De fotobarak van A. De Klerk op de Gentse foor, ca. 1890-1895;"De fotobarak van A. De Klerk op de Gentse foor. Opschrift: ""Photographie universelle A. De Klerk"" (bovenaan); ""[... por]traits [vic]toria [...] 1 fr."" (onderaan). Naast deze fototent staat nog een andere. Ze staan opgesteld voor de toenmalige kazerne (voor- en nadien: de Sint-Pietersabdij). Vóór de fotobarakken staat een venter die de aandacht trekt van alle passerende foorbezoekers. Links de sobere zijkant van een grote kermistent.";1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-139;Het Huis van Alijn (Gent);glasnegatief;De fotobarak van J. Tissens op de Gentse foor, ca. 1890-1895;Enkele mannen staan te kijken op de hoek van de Kantienberg tijdens de Gentse foor. Op de achtergrond, vóór de toenmalige kazerne, is een foorattractie te zien: de fotobarak van J. Tissens, deze keer met volledige façade. Op de voorgevel is te lezen: Photographie (bovenaan), 6 portraits pour 1 Franc (rechts bovenaan), victoria (onderaan), [J. Tissens Brevete] (midden onder, niet zichtbaar op deze foto). Centraal op de voorgrond staat een man met een faas en een wandelstok. Achter hem is nog net de tournure van het kleed van een dame te zien.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-027;Het Huis van Alijn (Gent);glasnegatief;Versierde boten in een waterstoet, Gent, 1903;Versierde boten van de waterstoet varen op de Gentse Coupure. Rechts onderaan zit een toeschouwer in het gras van de oever. Wellicht staat er achter hem net zo'n groot publiek als aan de overkant van het water.;1903;"";Vander Haeghen, Arnold;fotograaf;Gent
1985-014-001;Het Huis van Alijn (Gent);wieg;Wieg;"";"";"";"";"";""
2004-262-084-001;Het Huis van Alijn (Gent);vaas;Vaas met bloemmotief;Vazen werden vaak aan een bruidspaar gegeven. Deze vazen van verzilverd glas werden arme-mensen-zilver genoemd. Ze zagen er kostbaar uit, maar waren niet gemaakt uit echt zilver. Ze werden gegeven als huwelijksgeschenk.;"";"";"";"";""
1980-048-012;Het Huis van Alijn (Gent);beeldje;Fairing Six mois après marriage;Fairings werden vanaf 1860 op jaarmarkten en kermissen verkocht, vanaf 1890 werden ze ook in winkels te koop aangeboden. Taferelen uit het dagelijks leven worden op humoristische wijze in porselein voorgesteld. Liefde en huwelijk waren populaire thema's. De beeldjes kregen vaak een onderschrift die de humor van het tafereel kracht bijzette.;1860;1890;"";"";""
1926-062;Het Huis van Alijn (Gent);lunchtrommel;Lunchtrommel van ijzer;Lunchtrommel van ijzer met vier afdelingen boven elkaar. Het geheel wordt gesteund door lange, metalen stutten met een handvat. In deze houder werd voedsel getransporteerd, bijvoorbeeld naar werk of school.;"";"";"";"";""
1980-048-065;Het Huis van Alijn (Gent);miniatuur;Speelgoedstrijkijzer;"";"";"";onbekend;"";""
1996-036;Het Huis van Alijn (Gent);wekker;Ronde wekker met houten lijst;Ronde wekker met houten lijst. Wijzerplaat met koperkleurig kader. De wijzerplaat is uitgevoerd in een ivoorachtige kunststof en draagt grote zware cijfers. Er bevinden zich twee wijzers in de goudkleurige cirkel. Onderaan de wekker is een voetstuk aangebracht dat bestaat uit twee cilinders. Deze zijn verbonden met een gebogen stukje. Bovenaan zit een bel met schakelaar. Bovenaan, in het centrum van de bel, is er een draagring bevestigd in een peervormig vijsje. Achteraan bevindt zich de bedieningsplaat met opwindsysteem en tijdsinstelling.;"";"";"";"";""
2004-262-018;Het Huis van Alijn (Gent);wekker;Rode wekker met witte wijzerplaat;Rode wekker met witte wijzerplaat. De cijfers en de wijzers zijn fluorescerend. De wekker staat op twee metaalkleurige pootjes. Aan de bovenzijde zijn een oorvormig handvat en een drukknop voorzien.;"";"";"";"";""
1975-277-292;Het Huis van Alijn (Gent);bidsnoer;Rozenkrans van Onze Lieve Vrouw;"In de Rooms-Katholieke religie is een rozenkrans of paternoster het bekendste bidsnoer. Deze rozenkrans van O.L.V. werd gebruikt bij de pestprocessie in de Brandstraat in Gent. 
Aan een zilveren ketting hangen vijf maal tien gele, glazen bolletjes met diamantvorm. Deze zijn van elkaar gescheiden door vier ronde, groene, glazen bollen. De ketting is verbonden aan een M-vormig element. Aan deze vorm hangt een korte ketting met drie gele en een grote, groene bol. Deze eindigt op een opengewerkt kruisje met volutenversiering. Christus hangt aan een kruisje.";"";"";"";"";""
1926-784;Het Huis van Alijn (Gent);jeneverkruik;Jeneverkruik van aardewerk;"";"";"";"";"";""
1986-074;Het Huis van Alijn (Gent);bidprent;Ter gedachtenis van Jufvrouw Maria Loquet, 1886;"Bidprent ter gedachtenis van Jufvrouw Maria Loquet. Deze prent is gekaderd in een rechthoekig glazen frame. De randen ervan zijn met een stevige kleefband afgeplakt. Op de achterzijde hangt een ophanglint van textiel. Tekst op de prent: “Ter gedachtenis van Jufvrouw Maria Loquet – Geboren te Desselghem – den 12 October 1853 en aldaar overleden den 27 Januari 1886 - Weeklacht en troost - O! Moederliefde zoet! Nooit kan men u vergeten! Gij zijt een wonderbrood, dat God ons schonk ten eten; een tafel, steeds bereid in ’t huiselik gezin, Waar ieder heeft zijn deel, ook ’t heel uit louter min! Gij stierft, O Moeder lief! Toen ik u nauwliks kende, Bij 't liefdemaal, 'k zat nooit aan uwe zijde neer.... Mijn leven vloodt voorbij in treurnis en ellende. Maar, t'einden mijner smart, vind ik u, Moeder, weer.”";1886;"";"";"";""
2007-119-011;Het Huis van Alijn (Gent);vleesmolen;Vleesmolen Jumbo;"";"";"";"";"";""
1975-075-009;Het Huis van Alijn (Gent);patacon;Ronde patacon;"Ronde patacon van witte pijpaarde met rode, beschilderde rand. Het beschilderd tafereel is uitgevoerd in reliëf. Een man heeft in de ene arm een kleine figuur vast en in de andere arm houdt hij een plank op het hoofd met daarop vier koppen en een vogel. De pop draagt een soldatenuniform met steek op het hoofd en is gekleed in de Belgische driekleur. Een tweede man kijkt toe en leunt op een ezeltje.
Een patacon fungeerde als versiering van nieuwjaarsgebak.";"";"";"";"";""
1926-415;Het Huis van Alijn (Gent);strijkijzer;Houtskoolijzer van gietijzer;Dit strijkijzer behoorde toe tot een kleermaker.;"";"";"";"";""
2004-262-037;Het Huis van Alijn (Gent);suikerbonendoos;Lichtblauwe puntzak voor doopsuiker;Lichtblauwe puntzak van karton voor doopsuiker. De puntzak is bedrukt met rode inkt. Bovenaan is een bandje aangebracht waar rozen in zitten verwerkt. Daaronder is een tekening van een baby voorzien.;"";"";"";"";""
2008-119-027;Het Huis van Alijn (Gent);schooltas;Bruine, lederen schooltas;De schooltas heeft drie verschillende sloten. Er is een handvat aanwezig.;"";"";"";"";""
2008-201-150;Het Huis van Alijn (Gent);foto;Rouwkapel;"";"";"";"";"";""
2007-117-121;Het Huis van Alijn (Gent);frietsnijder;Frietsnijder;"";"";"";"";"";""
2007-119-099;Het Huis van Alijn (Gent);frietsnijder;Frietsnijder Zyliss met verpakking;"";"";"";"";"";""
1974-114-018;Het Huis van Alijn (Gent);sierspeld;Sierspeld in accoladevorm;Sierspeld van git in de vorm van een gestileerde accolade met waaiervorm. De speld is voorzien van twee elipsvormige uitsparingen. Aan een lange zijde is een platte schijfvorm ingewerkt. Achteraan is een koperkleurige speld bevestigd.;1930;"";"";"";""
1980-048-014;Het Huis van Alijn (Gent);beeldje;Kermisporselein La première année après le mariage;Fairings werden vanaf 1860 op jaarmarkten en kermissen verkocht, vanaf 1890 werden ze ook in winkels te koop aangeboden. Taferelen uit het dagelijks leven worden op humoristische wijze in porselein voorgesteld. Liefde en huwelijk waren populaire thema's. De beeldjes kregen vaak een onderschrift die de humor van het tafereel kracht bijzette.;1860;1890;"";"";""
2004-247-070;Het Huis van Alijn (Gent);glasnegatief;Twee Kruisvaarders in historische stoet 'Gent door de eeuwen heen', 1894;Twee Kruisvaarders te paard in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. De Kruisvaarders Robrecht van Jerusalem, Diederik van den Elzas, Philips van den Elzas, Boudewijn van Constantinopel en hun gevolg werden uitgebeeld door figuranten van de Union Civile. De foto is gemaakt op de Kouter, ter hoogte van zaal Concorde.;1894-07-29;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-129;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De foto is wellicht gemaakt omstreeks of na sluitingstijd, want verschillende delen van de fraaie façade zijn naar beneden geklapt of bedekt met doeken. Ook de vlaggen zijn weggehaald. Enkele nieuwsgierige kinderen hebben zich voor de ingang verzameld, de pijprokende wachter besteedt nauwelijks aandacht aan hen. Vooraan passeert een dame van gegoede klasse, terwijl ze nauwlettend in het oog gehouden wordt door drie jongemannen met bolhoeden. Verderop staat een man naast zijn vrouw en kind te praten met een agent met pinhelm. Het grote, schuin staande bord  naast de ingang heeft als opschrift: Fantoches Holden [...] Barbe-Bleu. Op het kleine bord is te lezen: Aujourd hui 2 grandes représentations.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2003-252;Het Huis van Alijn (Gent);foto;Groepsfoto poppenspelers Spelleke van de Muide bij de stichting in 1922;Het Spelleke van de Muide werd opgericht in 1922 door de toenmalige wijkpastoor Joris Vandenbroucke. Bovenaan van links naar rechts: Oscar Vervaecke, Jules De Muynck en Frans Casteels. Onderaan Gustaaf de Puydt en Achiel Blancke.;1922;"";"";"";""
1975-124-004;Het Huis van Alijn (Gent);foto;Reus Karel Waeri met viool tijdens een optocht, Gent;"";"";"";"";"";""
1981-066;Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);decorstuk;Fort;Dit fort bestaande uit diverse huizen en torens was speelgoed van baron Napoleon De Pauw-Schellekens (°Gent 26-09-1835 - 08-04-1922).;1840;1850;onbekend;"";""
1978-324-193;Het Huis van Alijn (Gent);pijpenkop;Pijpenkop in de vorm van Jacob met een tulband;Deze tabakspijp wordt ook een Jacobpijp genoemd. Jacob wordt afgebeeld met snor en lange baard en tulband.;"";"";"";"";""
FO-10-00020;Het Huis van Alijn (Gent);digitale afbeelding;Klasfoto onderwijzeressen 2e jaar, Gent, 1912-1913;De foto werd genomen in de Stedelijke Normaalschool voor Onderwijzeressen in Gent.;1912;1913;"";"";""
2004-247-150;Het Huis van Alijn (Gent);glasnegatief;Een hond op de Gentse foor, ca. 1890-1895;Een hond zit voor een mooi gedecoreerde fotobarak tijdens de foor op het Sint-Pietersplein in Gent. De fototent is opgesteld tussen andere fototenten voor de muur van de toenmalige kazerne (voor- en nadien: de Sint-Pietersabdij). Achteraan in de rij staat een (woon)wagen. Op de achtergrond lopen een vrouw en twee kinderen.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-132;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De foto is wellicht gemaakt omstreeks of na sluitingstijd, want verschillende delen van de fraaie façade zijn naar beneden geklapt of bedekt met doeken. Een groepje nieuwsgierige kinderen heeft zich voor de ingang verzameld. Voor het onbedekte stuk van de barak staat een man te praten met een agent met pinhelm, een vrouw en kind gaan de trapjes naar de ingang van het theater op. Verder op de foto nog enkele passanten en omstanders. Links in de façade is er een Pit Entrance, een toegangspoort naar de parterre, identiek aan de Pit Entrance aan de andere kant van de barak.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1976-042-003;Het Huis van Alijn (Gent);foto;Lijkkoets voor kinderen eerste klasse;Foto van een lijkkoets voor kinderen behorend tot de eerste klasse in de samenleving. De lijkkoets wordt getrokken door twee pony's die rouwkleden dragen. De lijkkoets wordt voorafgegaan door een ceremoniemeester. Er bestonden twee categorieën in dergelijke lijkkoetsen. Categorie A werd getrokken door vier pony's, terwijl categorie B voorzien was van twee pony's.;"";"";Sacré, Edmond;fotograaf;Gent
2003-002-007;Het Huis van Alijn (Gent);masker$kop (figuurvoorstellingen);Paradekop van Circus Minnaert;Reuzenhoofd van een vrouw met bril, strik en groene hoed, getooid met bloem aan voor- en bovenzijde. Aan de achterzijde van het hoofd werd de hoed verder uitgewerkt en werd een haarknot gestileerd. Opengewerkte ogen en mond, voorzien van tanden. Hoofd uit het circus Minnaert, gebruikt om de mensen naar de show te lokken. Waarschijnlijk gedragen door kinderen.;1935;1949;"";"";""
2004-247-140;Het Huis van Alijn (Gent);glasnegatief;Agent, cocoverkoper en arbeiders op de Gentse foor, ca. 1890-1895;Enkele mannen staan aan de rand van het Sint-Pietersplein te Gent, vóór de O.L.V. Sint-Pieterskerk, te kijken naar het foorgebeuren. De twee mannen rechts zijn wellicht arbeiders. Naast hen staat een verkoper van coco, een dorstlessend afkooksel van zoethout. Het cocowater draagt hij op zijn rug in een metalen kan met drie torentjes. Onder aan de kan zijn twee kraantjes gemaakt die aan zijn rechterzijde uitsteken. Aan een touw om zijn hals draagt de cocoventer twee drinkbekers. Verder naast hem staat een agent met pinhelm. Een stuk van zijn sabel steekt onder zijn jas uit. Helemaal links is een stuk van een kermistent te zien.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1973-470-166;Het Huis van Alijn (Gent);bus (houder);Grote voorraadbus in blik voor koffie;Roodgeverfde voorraadbus in blik voor koffie. De houder heeft een maanvorm. De bovenkant loopt van achteren naar voren schuin naar beneden. Het deksel klapt naar boven. In het deksel is een rechthoekig vlak met rode rand in het zwart geschilderd. Waarschijnlijk was dit een prijslijst. Er staat met rode verf in geschreven: 1 kilgr., ½ kilgr., ¼ kilgr. De voorzijde van de houder is versierd met vergulde letters. In zwarte letters staat Koffie in een lijst van gestileerde lelies en twee krulmotieven. Opschrift: Etabl. J. Schuybroeck S.A. Anvers.;"";"";"";"";""
2006-047-003;Het Huis van Alijn (Gent);productverpakking;Doos met Solo margarine;Verpakking met Solo margarine - union Margarinière Belge S.A. Merksem.;"";"";"";"";""
1978-324-070;Het Huis van Alijn (Gent);pijp (rookgerei);Tabakspijp van wit gebakken klei met liggende, naakte vrouw;Tabakspijp van wit gebakken klei, geproduceerd door Gambier, zonder hiel en rechte steel met knoop. De pijp heeft een figurale pijpenkop die gedragen wordt door een liggende, naakte vrouw met haar handen boven het hoofd. Deze pijp werd verkocht onder de handelsnaam fantaisie cariatide en modelnummer 1264. Dit type pijp krijgt soms een eindafwerking met schilderemail, een andere decoratietechniek of afwerkingslaag.;1870;1900;Gambier J.;fabrikant;Givet
1974-114-020;Het Huis van Alijn (Gent);sierspeld;Sierspeld in de vorm van een vlinderdas;Sierspeld van git met twee vleugels. De speld heeft de vorm van een vlinderdas. Centraal zit een soort knoop in de vorm van een acht. De linkervleugel wijst naar boven, de rechter naar beneden. Aan de achterzijde is een metalen speld voorzien.;1930;"";"";"";""
1974-114-014;Het Huis van Alijn (Gent);sierspeld;Sierspeld in de vorm van een insect;Sierspeld van git in de vorm van een insect. De vleugels van het insect zijn voorzien van concave groeven en wijzen naar beneden. Elke vleugel bestaat uit twee geledingen. De kop van het insect is gelobd en bestaat uit twee ogen en een angel. Het insect heeft een gestileerde vorm. Aan de achterzijde is een metalen speld voorzien.;1930;"";"";"";""
2004-247-128;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. Het foortheater is opgesteld tegenover de trappen die leiden naar de Sint-Amandstraat, op de achtergrond is de O.L.V. Sint-Pieterskerk in vooraanzicht te zien. Het publiek schuift aan voor de volgende voorstelling. Boven op de mooi versierde façade staan een Belgische en een Amerikaanse vlag, op het niet zichtbare linkse deel van de barak staat ook een Engelse vlag. Op het programmabord bij de ingang staat te lezen: Fantoches Holden [...] Barbe-Bleue.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1971-047-007;Het Huis van Alijn (Gent);santon;Kerststalfiguur koning;Kerststalfiguur van koning. De koning draagt een kroon, een scepter en een gouden doos. Hij draagt een scharlaken mantel en een lichtgroen kleed. Zijn gezicht is naar beneden gericht. De linkervoet staat naar achteren.;"";"";"";"";""
1971-047-006;Het Huis van Alijn (Gent);santon;Kerststalfiguur koning;Beeld van koning met groene cape en oranje kleed. De man draagt een tulband met gouden, blauwe en wijnrode lijnen. In de hand draagt hij een gouden beeldje.;"";"";"";"";""
1971-047-003;Het Huis van Alijn (Gent);decorstuk;Houten kribbe met stro;Houten kribbe met stro. Zeer eenvoudig van vorm: twee gekruiste balken met dwarsbalk ondersteunen een dakvormige kribbe.;"";"";"";"";""
1971-047-009;Het Huis van Alijn (Gent);santon;Kerststalfiguur;Beeld van knielende man met grijze mantel. De kerststalfiguur heeft zwart haar en een zwarte snor en baard. Zijn hemd is groen en in zijn middel draagt hij een hoorn en een vogel in een mand. Zijn gelaat is naar beneden gericht. De schoenen hebben een groene kleur.;"";"";"";"";""
1971-047-014;Het Huis van Alijn (Gent);santon;Kerststalfiguur schaap;Beeld van staand schaap. Het witte schaap staat op een groene ovale sokkel en heeft zwarte ogen en een rode mond.;"";"";"";"";""
1971-047-013;Het Huis van Alijn (Gent);santon;Kerststalfiguur ezel;Beeld van geknielde grijze ezel met zwarte staart en hoeven.;"";"";"";"";""
1971-047-004;Het Huis van Alijn (Gent);santon;Kerststalfiguur Maria;Maria met blauw kleed en witte sluier. De vrouw heeft blond haar. De handen zijn in een biddende houding gevouwen. De sokkel is ovaal.;"";"";"";"";""
1971-047-011;Het Huis van Alijn (Gent);santon;Kerststalfiguur herder;Beeld van staande herder met lam in de hals. Hij draagt een roodbruine mantel en zijn kleed is gevlekt roodbruin en wit.;"";"";"";"";""
2005-054-038;Het Huis van Alijn (Gent);chocoladevorm;Metalen mal voor de vervaardiging van paaseitjes;Metalen mal voor de vervaardiging van zesendertig paaseitjes in chocolade. De mal bestaat uit twee delen en kan worden dichtgeklapt.;"";"";"";"";""
2004-247-126;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. Deze uit Manchester afkomstige Engelsman was directeur van een populair marionettentheater. Zijn bekwame poppenspelers brachten een komisch programma met prachtig aangeklede poppen. De foorbarak meet 30 op 10 meter en de barokke façade is met geschilderde taferelen versierd. Ze staat tegenover de trappen die leiden naar de Sint-Amandstraat, op de achtergrond is de O.L.V. Sint-Pieterskerk in vooraanzicht te zien. Vele mensen staan voor de barak te wachten. Het programmabord rechts van de ingang kondigt de voorstelling Barbe-Bleue aan. Helemaal rechts is een Pit Entrance te zien, een toegangspoortje naar de parterre. Boven op het foortheater hangt de Belgische vlag windstil naar beneden.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-125;Het Huis van Alijn (Gent);glasnegatief;Twee vrijwilligers van het Leger des Heils op de Gentse foor, ca. 1896;Twee jonge vrijwilligers van het Leger des Heils lopen met een aankondigingsbord op de foor op het Sint-Pietersplein te Gent. Ze zijn herkenbaar aan hun kepies en aan de 'S' (van Salvation Army) op de boorden van hun vesten. Enkele van de woorden en namen op het bord zijn leesbaar: reddingsleger, bijzondere vergadering, Booth, Clibborn, van Parijs, La Maréchale. Het hele tafereel past binnen de opstartfase van het toen pas in België actieve Leger des Heils, dat leden zocht en bekendheid wilde verwerven. Rechts op de foto staat een vrouw met een mand, waarschijnlijk een verkoopster. Verder zijn twee burgerdames met hoeden te zien, en links twee kinderen en een man met buishoed. Een andere man staat in de ingang van de foorbarak met opschrift: “Triomphe des dieux de l’Olympe”. Waarschijnlijk werd in deze barak een métempsycose-attractie opgevoerd, dit is een soort optische illusie of fantasmagorie. De eigenaar van de barak was Berbuto. Naast de ingang hangt een bordje met als opschrift: 25, wat duidt op de entreeprijs. De structuur van deze foorbarak is hier goed te zien: een tent van zeildoek over een houten gebinte, een fraai versierde façade en stutbalken. Links en rechts van deze attractie staan grotere kermistenten. Op de achtergrond steekt de O.L.V. Sint-Pieterskerk bovenuit.;1896;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-149;Het Huis van Alijn (Gent);glasnegatief;Foorgangers bij een fotobarak op de Gentse foor, ca. 1890-1895;Enkele foorgangers bij een fotobarak op de foor op het Sint-Pietersplein in Gent. De mooi gedecoreerde fototent staat opgesteld voor de toenmalige kazerne. Boven aan de trapjes bij de ingang staat een houten beeld. Op de achtergrond zijn meer foorbezoekers te zien. Het gebouw helemaal achteraan is het klooster van de Apostolinnen. Naast deze fotobarak is in de verte een stukje zichtbaar van een kermismolen, waarschijnlijk de Montagne Russe van directeur Russell.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-148;Het Huis van Alijn (Gent);glasnegatief;Gezelschap op de Kantienberg tijdens de Gentse foor, ca. 1890-1895;Vier jongedames en een jongeman wandelen in feestelijke kleding op de Kantienberg, waarschijnlijk voor of na een bezoek aan de foor op het Sint-Pietersplein in Gent. Links zit een voerman klaar op een wagen. Daarachter is de fotobarak van J. Tissens te zien.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1974-245-007;Het Huis van Alijn (Gent);miniatuur;Speelgoedstrijkijzer met blauw handvat;"";"";"";onbekend;"";""
2007-150-511;Het Huis van Alijn (Gent);telraam;Telraam;"";"";"";"";"";""
2004-247-127;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De mooi versierde foorbarak meet 30 op 10 meter en staat tegenover de trappen die leiden naar de Sint-Amandstraat. Boven op de façade zijn een Engelse en een Belgische vlag aangebracht. Het publiek dat stond te wachten mag stilaan het theater binnengaan, enkele dames staan al bij de kassa. Op het bord in het midden is het volgende leesbaar: Aujourd hui 2 grandes représentations.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1991-082;Het Huis van Alijn (Gent);pennenbak;Houten pennendoos;"";"";"";"";"";""
2004-247-138;Het Huis van Alijn (Gent);glasnegatief;De fotobarak van J. Tissens op de Gentse foor, ca. 1890-1895;De fotobarak van J. Tissens op de hoek van de toenmalige kazerne aan de Kantienberg te Gent. Eén paneel van de façade ontbreekt links bovenaan. Op de kraam is te lezen: [Ph]otographie (bovenaan), 6 portraits pour 1 Franc (rechts boven), victoria (onderaan), J. Tissens Brevete (midden onder, tussen de twee trapjes). Bovenaan op de façade staat een geschilderde buste met onderschrift Dagere. Daarnaast is een schouwpijpje te zien. Verdere versiering van de barak bestaat voornamelijk uit kaders met verschillende kleine voorbeeldfoto’s. Vooraan leunt een man tegen één van de trapleuningen aan de ingang. Rechts op de voorgrond staat een man met een faas en een paraplu.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
