objectnummer,instelling.naam,objectnaam,titel,beschrijving,vervaardiger,vervaardiger.rol,vervaardiging.datum.begin,vervaardiging.datum.eind,vervaardiging.plaats;;;;;
"2004-247-093,Het Huis van Alijn (Gent),glasnegatief,""Praalwagen Sint-Michielsgilde in historische stoet 'Gent door de eeuwen heen', 1894"",""De praalwagen van de Sint-Michielsgilde in de historische stoet 'Gent door de eeuwen heen' op 22 juli 1894. De fraai versierde wagen wordt bevolkt door figuranten van deze in 1613 opgerichte schermgilde. Vooraan op de wagen staat een beeld van hun patroonheilige, aartsengel Michaël, die de draak overwon. De foto is genomen op de Kortrijksesteenweg in Gent."",""Vander Haeghen, Arnold"",fotograaf,1894,"""",""""";;;;;
"1983-121,Het Huis van Alijn (Gent),hoedendoos,Reiskoffer in de vorm van een hoedendoos,""Op de hoedendoos zijn papieren reclamestickers van hotels gekleefd uit Hamburg, Koblenz, Tübingen, Merano, Leipzig, München, Magdeburg, Nürnberg, Halle am Saale, Dresden en Würtemberg. De binnenzijde van de doos is met een purperen stof bekleed en voorzien van vier linten (om de hoed vast te strikken) en een zakje om kleine reisaccessoires op te bergen."","""","""","""","""",""""";;;;;
"2004-247-136,Het Huis van Alijn (Gent),glasnegatief,""Een gewichtheffer op de Gentse foor, ca. 1890-1900"",Een gewichtheffer in actie tijdens zijn openluchtshow op de foor op het Sint-Pietersplein in Gent. Voor de ogen van vele rijen toeschouwers steekt hij zijn halters met één arm in de lucht. Naast de krachtpatser liggen nog meer gewichten.,""Vander Haeghen, Arnold"",fotograaf,1890,1900,Gent";;;;;
"1979-212-035,Het Huis van Alijn (Gent),foto,""Voorstelling Spelleke van Folklore, Gent"","""","""","""","""","""",""""";;;;;
"1974-123-041,Het Huis van Alijn (Gent),gesel (strafwerktuig),Zweep met franjes,Zweep met handvat van hout en acht franjes van leer. Werd door de onderwijzer op school gebruikt om stoute kinderen af te straffen.,"""","""","""","""",""""";;;;;
"1926-229,Het Huis van Alijn (Gent),doopspuit,Klisteerspuit of doopspuit,""Klisteerspuit of lavementspuit, werd ook gebruikt als doopspuit voor het dopen van het ongeboren kind. Tot ver in de 20ste eeuw was niet de geboorte zelf, maar het doopsel de belangrijkste gebeurtenis. Binnen de christelijke traditie is het pasgeboren kind belast met de erfzonde die bij het doopsel wordt weggewassen. Men geloofde dat wanneer een ongedoopt kindje zou sterven het als dwaallichtje zou blijven rondspoken. Bij een risicobevalling werd een nooddoop toegediend. Hiervoor gebruikte men een doopspuit, waarbij de baby in de baarmoeder werd gedoopt. De niet-steriele doopspuit werd gevuld met wijwater. Het toepassen van een nooddoop was urgent en werd daardoor toegediend door de vroedvrouw en niet door de priester."","""","""","""","""",""""";;;;;
"2002-078-114,Het Huis van Alijn (Gent),affiche,""Affiche voor het Wiener Circus in Lokeren, 1973"",""Affiche voor het Wiener Circus. Blauwe en rode achtergrond. Gekleurde tekeningen, gemaakt door E. Quix: drie leeuwen"; een clownshoofd;" drie duiven bij een artieste op een knielend paard."","""","""",1973,"""",""""";;;
"2007-117-051,Het Huis van Alijn (Gent),bord (vaatwerk),Verwarmbaar babybord,""Verwarmbaar babybord met de afbeelding van kabouters. Er is een buisvormige opening voorzien waar warm water kan worden aangevoerd, ter verwarming van het bord."","""","""","""","""",""""";;;;;
"2004-247-293,Het Huis van Alijn (Gent),glasnegatief,""Kinderen op het strand, Oostende"","""",""Vander Haeghen, Arnold"",fotograaf,"""","""",Gent";;;;;
"2003-002-010,Het Huis van Alijn (Gent),kookpot,Goochelketel van Ali-Ben,""Zilverkleurige pot met deksel en bodemplaat. Goochelketel in de vorm van een kookpot, gebruikt om te goochelen. Afkomstig van Ali-Ben."","""","""",1945,"""",""""";;;;;
"2003-002-145,Het Huis van Alijn (Gent),stoel,Witte klapstoel van Circus Demuynck,Witte logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.,"""","""",1950,"""",""""";;;;;
"1974-111-056,Het Huis van Alijn (Gent),pijp (rookgerei),Pijpenkop uit schelp en metaal,Tabakspijp met pijpkop uit de schelp van een zeeslak. Brandkamer uit hars en steel insteekhuls uit metaal.,onbekend,"""","""","""",""""";;;;;
"1965-089-046,Het Huis van Alijn (Gent),stangpop,Soldaat,""Stangpop van soldaat, hij draagt een helm met vizier. De pop draagt een borst- en rugharnas, voorarmbeschermers en kaplaarzen. Alles is in goud geschilderd. Rood katoenen hemd en rode broek. Aan de schouders hangen goudkleurige franjes. Kop met snor. Poppenkastpop van het Spelleke van de Muide."","""","""",1922,1950,""""";;;;;
"2003-002-144,Het Huis van Alijn (Gent),stoel,Rode klapstoel van Circus Demuynck,Rode logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.,"""","""",1950,"""",""""";;;;;
"1965-089-038,Het Huis van Alijn (Gent),stangpop,Bisschop uit Blauwbaard,""Stangpop van de bisschop uit Blauwbaard. De pop draagt een paarse mijter en kleed. De mijter is afgeboord met gele steekjes. Middenin de mijter is een geel driehoekje aangebracht van kraaltjes. De pop draagt een kazuifel over de schouders. De boord is afgezet aan de rand met een brede band met streepjes en kruisjes in goudkleurige draad. Wit bisschopkleed, onderaan met kant afgezet. Rondom de hals draagt de pop een halsketting met een groot kruis. Hij draagt een goudkleurige staf. Poppenkastpop van het Spelleke van de Muide."","""","""",1922,1950,""""";;;;;
"2004-247-120,Het Huis van Alijn (Gent),glasnegatief,""Een carrousel op de foor op het Sint-Pietersplein, Gent, ca. 1890-1895"",Een mooi versierde carrousel met paarden en bootjes op de Gentse foor omstreeks 1890-1895. Op de voorkant van het bootje rechts in beeld zijn de eerste letters van een naam of woord nog te lezen: 'caer'. De molen stond vlak voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein. Langs de foorbarakken links in de verte lopen vele kermisgangers. Het gebouw op de achtergrond is het klooster van de Zusters Apostolinnen.,""Vander Haeghen, Arnold"",fotograaf,1890,1895,Gent";;;;;
"1987-055,Het Huis van Alijn (Gent),wieg,Wieg met wiegbekleding,""Witgeverfde ijzeren wieg die uit twee delen bestaat: de wiegmand en het frame waarin de wiegmand hangt. De ovale wiegmand bestaat uit een imitatienetwerk dat conisch naar beneden toeloopt. Het frame draagt de wieg en rust op vier wieltjes, de voetzijde van het frame is laag en eindigt op een bol. Aan de hoofdzijde is een ijzeren staaf bevestigd. Deze buigt boven de wiegmand zodat er een sluier kan aan worden bevestigd."","""","""",1900,"""",""""";;;;;
"2004-247-730,Het Huis van Alijn (Gent),glasnegatief,""De fotobarak van A. De Klerk op de Gentse foor, ca. 1890-1895"",""De fotobarak van A. De Klerk op de Gentse foor. Opschrift: """"Photographie universelle A. De Klerk"""" (bovenaan)";" """"[... por]traits [vic]toria [...] 1 fr."""" (onderaan). Naast deze fototent staat nog een andere. Ze staan opgesteld voor de toenmalige kazerne (voor- en nadien: de Sint-Pietersabdij). Vóór de fotobarakken staat een venter die de aandacht trekt van alle passerende foorbezoekers. Links de sobere zijkant van een grote kermistent."",""Vander Haeghen, Arnold"",fotograaf,1890,1895,Gent";;;;
"2004-247-139,Het Huis van Alijn (Gent),glasnegatief,""De fotobarak van J. Tissens op de Gentse foor, ca. 1890-1895"",""Enkele mannen staan te kijken op de hoek van de Kantienberg tijdens de Gentse foor. Op de achtergrond, vóór de toenmalige kazerne, is een foorattractie te zien: de fotobarak van J. Tissens, deze keer met volledige façade. Op de voorgevel is te lezen: Photographie (bovenaan), 6 portraits pour 1 Franc (rechts bovenaan), victoria (onderaan), [J. Tissens Brevete] (midden onder, niet zichtbaar op deze foto). Centraal op de voorgrond staat een man met een faas en een wandelstok. Achter hem is nog net de tournure van het kleed van een dame te zien."",""Vander Haeghen, Arnold"",fotograaf,1890,1895,Gent";;;;;
"2004-247-027,Het Huis van Alijn (Gent),glasnegatief,""Versierde boten in een waterstoet, Gent, 1903"",Versierde boten van de waterstoet varen op de Gentse Coupure. Rechts onderaan zit een toeschouwer in het gras van de oever. Wellicht staat er achter hem net zo'n groot publiek als aan de overkant van het water.,""Vander Haeghen, Arnold"",fotograaf,1903,"""",Gent";;;;;
"1985-014-001,Het Huis van Alijn (Gent),wieg,Wieg,"""","""","""","""","""",""""";;;;;
"2004-262-084-001,Het Huis van Alijn (Gent),vaas,Vaas met bloemmotief,""Vazen werden vaak aan een bruidspaar gegeven. Deze vazen van verzilverd glas werden arme-mensen-zilver genoemd. Ze zagen er kostbaar uit, maar waren niet gemaakt uit echt zilver. Ze werden gegeven als huwelijksgeschenk."","""","""","""","""",""""";;;;;
"1980-048-012,Het Huis van Alijn (Gent),beeldje,Fairing Six mois après marriage,""Fairings werden vanaf 1860 op jaarmarkten en kermissen verkocht, vanaf 1890 werden ze ook in winkels te koop aangeboden. Taferelen uit het dagelijks leven worden op humoristische wijze in porselein voorgesteld. Liefde en huwelijk waren populaire thema's. De beeldjes kregen vaak een onderschrift die de humor van het tafereel kracht bijzette."","""","""",1860,1890,""""";;;;;
"1926-062,Het Huis van Alijn (Gent),lunchtrommel,Lunchtrommel van ijzer,""Lunchtrommel van ijzer met vier afdelingen boven elkaar. Het geheel wordt gesteund door lange, metalen stutten met een handvat. In deze houder werd voedsel getransporteerd, bijvoorbeeld naar werk of school."","""","""","""","""",""""";;;;;
"1980-048-065,Het Huis van Alijn (Gent),miniatuur,Speelgoedstrijkijzer,"""",onbekend,"""","""","""",""""";;;;;
"1996-036,Het Huis van Alijn (Gent),wekker,Ronde wekker met houten lijst,""Ronde wekker met houten lijst. Wijzerplaat met koperkleurig kader. De wijzerplaat is uitgevoerd in een ivoorachtige kunststof en draagt grote zware cijfers. Er bevinden zich twee wijzers in de goudkleurige cirkel. Onderaan de wekker is een voetstuk aangebracht dat bestaat uit twee cilinders. Deze zijn verbonden met een gebogen stukje. Bovenaan zit een bel met schakelaar. Bovenaan, in het centrum van de bel, is er een draagring bevestigd in een peervormig vijsje. Achteraan bevindt zich de bedieningsplaat met opwindsysteem en tijdsinstelling."","""","""","""","""",""""";;;;;
"2004-262-018,Het Huis van Alijn (Gent),wekker,Rode wekker met witte wijzerplaat,Rode wekker met witte wijzerplaat. De cijfers en de wijzers zijn fluorescerend. De wekker staat op twee metaalkleurige pootjes. Aan de bovenzijde zijn een oorvormig handvat en een drukknop voorzien.,"""","""","""","""",""""";;;;;
"1975-277-292,Het Huis van Alijn (Gent),bidsnoer,Rozenkrans van Onze Lieve Vrouw,""In de Rooms-Katholieke religie is een rozenkrans of paternoster het bekendste bidsnoer. Deze rozenkrans van O.L.V. werd gebruikt bij de pestprocessie in de Brandstraat in Gent. ";;;;;
"Aan een zilveren ketting hangen vijf maal tien gele, glazen bolletjes met diamantvorm. Deze zijn van elkaar gescheiden door vier ronde, groene, glazen bollen. De ketting is verbonden aan een M-vormig element. Aan deze vorm hangt een korte ketting met drie gele en een grote, groene bol. Deze eindigt op een opengewerkt kruisje met volutenversiering. Christus hangt aan een kruisje."","""","""","""","""",""""";;;;;
